ID_TIENDA,TIENDA,PENDIENTES_SF,PENDIENTES_SHIPPING,BO_ENTREGADOS,TOTAL_SHIPPING,ENTREGA_H,ESTIMACION_HORAS,FIN
N597,Sisa Temuco El Carmen,5,7,5,13,0.5,14.0,🔴 Riesgo de reprogramacion
N665,Sisa Los Andes,10,7,5,13,0.5,14.0,🔴 Riesgo de reprogramacion
N756,Sisa Sanantonio,6,6,5,11,0.5,12.0,🔴 Riesgo de reprogramacion
N758,Spid35 Sisa Maipu Tres Poniente,1,19,52,75,0.0,,⚠️ Sin entregas ultima hora
N758,Spid35 Sisa Maipu Tres Poniente,1,0,1,3,0.0,,⚠️ Sin entregas ultima hora
N985,Sisa Victoria,2,2,2,4,0.0,,⚠️ Sin entregas ultima hora
N744,Sisa La Union,4,3,2,5,0.0,,⚠️ Sin entregas ultima hora
N909,Sisa Los Boldos,6,5,6,13,0.0,,⚠️ Sin entregas ultima hora
N820,Sisa Calama,11,7,7,14,0.0,,⚠️ Sin entregas ultima hora
N758,"Sisa Tres Poniente, Maipu",17,0,1,3,11.0,0.0,✅ Cierre inminente
N822,Sisa Los Pinos,16,17,19,40,2.0,8.5,20:51:04
N684,Sisa Valdivia Chacabuco,6,4,4,11,0.5,8.0,20:21:04
N859,Sisa Melipilla,8,9,11,26,1.5,6.0,18:21:04
N689,Sisa San Pablo,28,33,32,72,5.5,6.0,18:21:04
N612,Sisa Grajales,7,8,6,17,1.5,5.3,17:41:04
N552,Sisa Pedro Montt,12,8,15,25,1.5,5.3,17:41:04
N841,Sisa Palomar,3,8,4,12,1.5,5.3,17:41:04
N590,Sisa Iquique,6,5,5,13,1.0,5.0,17:21:04
N977,Sisa Las Mariposas,10,7,5,13,1.5,4.7,17:01:04
N797,Sisa Antofagasta 14 Febrero,10,7,8,21,1.5,4.7,17:01:04
N857,Sisa Villarica,2,2,1,3,0.5,4.0,16:21:04
N753,Sisa Laligua,3,2,4,7,0.5,4.0,16:21:04
N908,Sisa Ovalle,7,4,7,12,1.0,4.0,16:21:04
N983,Sisa Coronel,6,8,9,20,2.0,4.0,16:21:04
N771,Sisa Huerfanos,11,12,17,35,3.5,3.4,15:46:47
N593,Sisa Bustamante,24,24,35,64,7.5,3.2,15:33:04
N643,Sisa Ochagavia,28,21,45,78,6.5,3.2,15:34:55
N848,Sisa Las Araucarias,5,3,8,13,1.0,3.0,15:21:04
N549,Sisa La Calera Zenteno,3,3,4,9,1.0,3.0,15:21:04
N818,Sisa Curacavi,4,3,7,10,1.0,3.0,15:21:04
N813,Sisa Valencia,3,6,15,23,2.0,3.0,15:21:04
N548,Sisa Renaca,18,11,17,35,4.0,2.8,15:06:04
N915,Sisa Rancagua Bosques,8,7,12,22,2.5,2.8,15:09:04
N587,Sisa Valle Volcanes,8,4,13,20,1.5,2.7,15:01:04
N828,Sisa Talca Colin,4,4,6,11,1.5,2.7,15:01:04
N812,Sisa Renato Rocca,3,5,7,12,2.0,2.5,14:51:04
N672,Sisa Concha Y Toro,17,19,48,75,8.0,2.4,14:43:34
N651,Sisa Valle Grande,11,12,23,39,5.5,2.2,14:31:59
N711,Sisa Agua Santa,18,13,39,62,6.0,2.2,14:31:04
N849,Sisa Casablanca,3,1,4,5,0.5,2.0,14:21:04
N811,Sisa Alto Hospicio,3,1,3,5,0.5,2.0,14:21:04
N561,Sisa Curauma,8,6,19,29,3.0,2.0,14:21:04
N657,Sisa Limache Viejo,5,4,8,12,2.0,2.0,14:21:04
N758,"Sisa Tres Poniente, Maipu",17,19,52,75,11.0,1.7,14:04:42
N692,Sisa Pedro Fontova,9,10,23,34,6.5,1.5,13:53:23
N778,Sisa San Pedro De La Paz,4,6,11,20,4.0,1.5,13:51:04
N736,Sisa Grecia,16,17,42,66,11.0,1.5,13:53:48
N639,Sisa Flemming,10,10,0,0,7.0,1.4,13:46:47
N801,Sisa Collao,6,4,14,22,3.0,1.3,13:41:04
N742,Sisa Los Angeles Villagran,3,2,4,8,1.5,1.3,13:41:04
N733,Sisa Pto Varas Del Salvador,2,2,9,11,1.5,1.3,13:41:04
N648,Sisa San Joaquin,5,3,16,25,3.0,1.0,13:21:04
N585,Sisa Osorno Da Vinci,5,2,10,12,2.5,0.8,13:09:04
N901,Sisa Vallenar,2,2,8,10,2.5,0.8,13:09:04
N524,Sisa Januario,2,1,5,6,1.5,0.7,13:01:04
N658,Sisa La Herradura,5,3,17,24,5.0,0.6,12:57:04
N764,"Sisa La Florida, Enrique Olivares",9,4,44,56,9.0,0.4,12:47:44
N783,Sisa Lomas De San Andres,4,2,20,24,5.5,0.4,12:42:53
